"Town/County","FIPS","Year","Category","Measure Type","Variable","Value"
"East Hartford","0900322630","2006","All Industries","US Dollars","Annual Average Wage",58744
"East Hartford","0900322630","2005","All Industries","Number","Number of Employers",1196
"East Hartford","0900322630","2011","All Industries","Number","Number of Employers",1185
"East Hartford","0900322630","2012","Government","US Dollars","Annual Average Wage",60979
"East Hartford","0900322630","2004","All Industries","Number","Number of Employers",1189
"East Hartford","0900322630","2004","Government","Number","Number of Employers",38
"East Hartford","0900322630","2015","All Industries","US Dollars","Annual Average Wage",69414
"East Hartford","0900322630","2009","All Industries","Number","Annual Average Employment",28849
"East Hartford","0900322630","2009","Government","Number","Annual Average Employment",2841
"East Hartford","0900322630","2009","All Industries","US Dollars","Annual Average Wage",62972
"East Hartford","0900322630","2012","All Industries","Number","Annual Average Employment",28635
"East Hartford","0900322630","2013","Government","Number","Annual Average Employment",2828
"East Hartford","0900322630","2013","Government","US Dollars","Annual Average Wage",62724
"East Hartford","0900322630","2008","All Industries","Number","Number of Employers",1195
"East Hartford","0900322630","2005","Government","Number","Number of Employers",36
"East Hartford","0900322630","2004","All Industries","Number","Annual Average Employment",29121
"East Hartford","0900322630","2014","All Industries","Number","Number of Employers",1266
"East Hartford","0900322630","2007","All Industries","Number","Number of Employers",1173
"East Hartford","0900322630","2015","Government","Number","Annual Average Employment",2555
"East Hartford","0900322630","2011","Government","Number","Number of Employers",37
"East Hartford","0900322630","2014","Government","US Dollars","Annual Average Wage",66195
"East Hartford","0900322630","2015","All Industries","Number","Number of Employers",1262
"East Hartford","0900322630","2011","All Industries","US Dollars","Annual Average Wage",68356
"East Hartford","0900322630","2015","Government","US Dollars","Annual Average Wage",66321
"East Hartford","0900322630","2013","All Industries","US Dollars","Annual Average Wage",70383
"East Hartford","0900322630","2011","Government","Number","Annual Average Employment",2783
"East Hartford","0900322630","2010","Government","Number","Number of Employers",37
"East Hartford","0900322630","2009","All Industries","Number","Number of Employers",1171
"East Hartford","0900322630","2012","Government","Number","Annual Average Employment",2690
"East Hartford","0900322630","2009","Government","US Dollars","Annual Average Wage",63823
"East Hartford","0900322630","2005","Government","US Dollars","Annual Average Wage",57182
"East Hartford","0900322630","2015","Government","Number","Number of Employers",34
"East Hartford","0900322630","2011","All Industries","Number","Annual Average Employment",28778
"East Hartford","0900322630","2014","All Industries","US Dollars","Annual Average Wage",70225
"East Hartford","0900322630","2013","All Industries","Number","Annual Average Employment",28975
"East Hartford","0900322630","2006","Government","Number","Number of Employers",37
"East Hartford","0900322630","2012","All Industries","US Dollars","Annual Average Wage",68442
"East Hartford","0900322630","2006","All Industries","Number","Number of Employers",1200
"East Hartford","0900322630","2011","Government","US Dollars","Annual Average Wage",63054
"East Hartford","0900322630","2004","All Industries","US Dollars","Annual Average Wage",54525
"East Hartford","0900322630","2006","All Industries","Number","Annual Average Employment",30819
"East Hartford","0900322630","2014","Government","Number","Annual Average Employment",2716
"East Hartford","0900322630","2007","Government","Number","Number of Employers",37
"East Hartford","0900322630","2015","All Industries","Number","Annual Average Employment",30509
"East Hartford","0900322630","2005","Government","Number","Annual Average Employment",2475
"East Hartford","0900322630","2013","Government","Number","Number of Employers",38
"East Hartford","0900322630","2014","All Industries","Number","Annual Average Employment",29624
"East Hartford","0900322630","2004","Government","Number","Annual Average Employment",2423
"East Hartford","0900322630","2005","All Industries","Number","Annual Average Employment",29308
"East Haven","0900922910","2012","Government","Number","Number of Employers",17
"East Haven","0900922910","2006","All Industries","US Dollars","Annual Average Wage",35779
"East Haven","0900922910","2012","All Industries","Number","Number of Employers",532
"East Haven","0900922910","2008","Government","Number","Annual Average Employment",1019
"East Haven","0900922910","2008","All Industries","US Dollars","Annual Average Wage",36971
"East Haven","0900922910","2010","All Industries","US Dollars","Annual Average Wage",38032
"East Haven","0900922910","2014","All Industries","Number","Number of Employers",567
"East Haven","0900922910","2008","Government","US Dollars","Annual Average Wage",43673
"East Haven","0900922910","2013","All Industries","Number","Annual Average Employment",6342
"East Haven","0900922910","2008","All Industries","Number","Annual Average Employment",6620
"East Haven","0900922910","2012","Government","US Dollars","Annual Average Wage",46952
"East Haven","0900922910","2012","All Industries","US Dollars","Annual Average Wage",39389
"East Haven","0900922910","2008","Government","Number","Number of Employers",18
"East Haven","0900922910","2010","Government","US Dollars","Annual Average Wage",46087
"East Haven","0900922910","2007","All Industries","US Dollars","Annual Average Wage",37149
"East Haven","0900922910","2004","All Industries","US Dollars","Annual Average Wage",34078
"East Haven","0900922910","2014","Government","US Dollars","Annual Average Wage",48460
"East Haven","0900922910","2007","All Industries","Number","Annual Average Employment",6644
"East Haven","0900922910","2010","Government","Number","Number of Employers",17
"East Haven","0900922910","2014","All Industries","US Dollars","Annual Average Wage",39358
"East Haven","0900922910","2013","Government","US Dollars","Annual Average Wage",49194
"East Haven","0900922910","2004","Government","US Dollars","Annual Average Wage",44166
"East Haven","0900922910","2013","All Industries","US Dollars","Annual Average Wage",39173
"East Haven","0900922910","2011","Government","US Dollars","Annual Average Wage",47312
"East Haven","0900922910","2009","All Industries","Number","Number of Employers",547
"East Haven","0900922910","2012","Government","Number","Annual Average Employment",973
"East Haven","0900922910","2004","Government","Number","Number of Employers",18
"East Haven","0900922910","2009","Government","Number","Number of Employers",17
"East Haven","0900922910","2009","Government","Number","Annual Average Employment",1046
"East Haven","0900922910","2007","Government","Number","Annual Average Employment",1058
"East Haven","0900922910","2015","All Industries","Number","Annual Average Employment",6300
"East Haven","0900922910","2004","Government","Number","Annual Average Employment",1089
"East Haven","0900922910","2007","Government","US Dollars","Annual Average Wage",42877
"East Haven","0900922910","2009","All Industries","US Dollars","Annual Average Wage",36907
"East Haven","0900922910","2009","Government","US Dollars","Annual Average Wage",44116
"East Haven","0900922910","2011","Government","Number","Annual Average Employment",965
"East Haven","0900922910","2010","All Industries","Number","Number of Employers",530
"East Haven","0900922910","2014","Government","Number","Annual Average Employment",943
"East Haven","0900922910","2004","All Industries","Number","Number of Employers",555
"East Haven","0900922910","2005","Government","Number","Number of Employers",18
"East Haven","0900922910","2010","All Industries","Number","Annual Average Employment",6228
"East Haven","0900922910","2013","Government","Number","Number of Employers",17
"East Haven","0900922910","2011","Government","Number","Number of Employers",17
"East Haven","0900922910","2004","All Industries","Number","Annual Average Employment",6914
"East Haven","0900922910","2011","All Industries","US Dollars","Annual Average Wage",39180
"East Haven","0900922910","2013","Government","Number","Annual Average Employment",933
"East Haven","0900922910","2006","Government","Number","Number of Employers",18
"East Haven","0900922910","2015","All Industries","US Dollars","Annual Average Wage",40860
"East Haven","0900922910","2006","All Industries","Number","Annual Average Employment",6797
"East Haven","0900922910","2008","All Industries","Number","Number of Employers",540
"East Haven","0900922910","2006","Government","US Dollars","Annual Average Wage",42804
"East Haven","0900922910","2012","All Industries","Number","Annual Average Employment",6366
"East Haven","0900922910","2007","Government","Number","Number of Employers",18
"East Haven","0900922910","2005","All Industries","Number","Number of Employers",538
"East Haven","0900922910","2010","Government","Number","Annual Average Employment",987
"East Haven","0900922910","2015","Government","Number","Annual Average Employment",944
"East Haven","0900922910","2005","Government","Number","Annual Average Employment",1099
"East Haven","0900922910","2011","All Industries","Number","Number of Employers",526
"East Haven","0900922910","2005","All Industries","US Dollars","Annual Average Wage",34938
"East Haven","0900922910","2007","All Industries","Number","Number of Employers",529
"East Haven","0900922910","2006","All Industries","Number","Number of Employers",526
"East Haven","0900922910","2011","All Industries","Number","Annual Average Employment",6260
"East Haven","0900922910","2006","Government","Number","Annual Average Employment",1094
"East Haven","0900922910","2015","Government","US Dollars","Annual Average Wage",49795
"East Haven","0900922910","2013","All Industries","Number","Number of Employers",553
"East Haven","0900922910","2009","All Industries","Number","Annual Average Employment",6439
"East Haven","0900922910","2005","All Industries","Number","Annual Average Employment",6868
"East Haven","0900922910","2005","Government","US Dollars","Annual Average Wage",42430
"East Haven","0900922910","2014","All Industries","Number","Annual Average Employment",6438
"East Haven","0900922910","2015","Government","Number","Number of Employers",16
"East Haven","0900922910","2015","All Industries","Number","Number of Employers",580
"East Haven","0900922910","2014","Government","Number","Number of Employers",16
"East Lyme","0901123400","2008","Government","US Dollars","Annual Average Wage",54683
"East Lyme","0901123400","2006","All Industries","US Dollars","Annual Average Wage",38214
"East Lyme","0901123400","2014","Government","Number","Annual Average Employment",1643
"East Lyme","0901123400","2012","All Industries","US Dollars","Annual Average Wage",43489
"East Lyme","0901123400","2008","All Industries","US Dollars","Annual Average Wage",41342
"East Lyme","0901123400","2004","All Industries","Number","Number of Employers",461
"East Lyme","0901123400","2012","Government","Number","Number of Employers",30
"East Lyme","0901123400","2009","Government","Number","Annual Average Employment",1755
"East Lyme","0901123400","2005","All Industries","Number","Number of Employers",460
"East Lyme","0901123400","2012","All Industries","Number","Number of Employers",500
"East Lyme","0901123400","2010","All Industries","Number","Number of Employers",499
"East Lyme","0901123400","2012","Government","Number","Annual Average Employment",1629
"East Lyme","0901123400","2005","Government","Number","Annual Average Employment",1589
"East Lyme","0901123400","2008","Government","Number","Annual Average Employment",1757
"East Lyme","0901123400","2007","All Industries","US Dollars","Annual Average Wage",39680
"East Lyme","0901123400","2007","Government","US Dollars","Annual Average Wage",53419
"East Lyme","0901123400","2013","Government","US Dollars","Annual Average Wage",57518
"East Lyme","0901123400","2005","All Industries","Number","Annual Average Employment",5084
"East Lyme","0901123400","2008","Government","Number","Number of Employers",31
"East Lyme","0901123400","2008","All Industries","Number","Number of Employers",486
"East Lyme","0901123400","2010","Government","Number","Number of Employers",32
"East Lyme","0901123400","2007","All Industries","Number","Number of Employers",482
"East Lyme","0901123400","2004","Government","Number","Number of Employers",30
"East Lyme","0901123400","2015","Government","Number","Annual Average Employment",1632
"East Lyme","0901123400","2010","Government","US Dollars","Annual Average Wage",55969
"East Lyme","0901123400","2005","Government","US Dollars","Annual Average Wage",50856
"East Lyme","0901123400","2005","All Industries","US Dollars","Annual Average Wage",37057
"East Lyme","0901123400","2013","All Industries","Number","Annual Average Employment",5463
"East Lyme","0901123400","2011","All Industries","Number","Number of Employers",506
"East Lyme","0901123400","2013","All Industries","US Dollars","Annual Average Wage",41277
"East Lyme","0901123400","2008","All Industries","Number","Annual Average Employment",5478
"East Lyme","0901123400","2007","Government","Number","Annual Average Employment",1734
"East Lyme","0901123400","2004","Government","US Dollars","Annual Average Wage",52512
"East Lyme","0901123400","2009","All Industries","Number","Number of Employers",495
"East Lyme","0901123400","2014","All Industries","Number","Annual Average Employment",5562
"East Lyme","0901123400","2014","All Industries","US Dollars","Annual Average Wage",41696
"East Lyme","0901123400","2010","All Industries","Number","Annual Average Employment",5443
"East Lyme","0901123400","2009","All Industries","Number","Annual Average Employment",5430
"East Lyme","0901123400","2013","All Industries","Number","Number of Employers",498
"East Lyme","0901123400","2015","Government","Number","Number of Employers",30
"East Lyme","0901123400","2015","All Industries","Number","Annual Average Employment",5496
"East Lyme","0901123400","2013","Government","Number","Number of Employers",30
"East Lyme","0901123400","2009","All Industries","US Dollars","Annual Average Wage",40916
"East Lyme","0901123400","2011","Government","Number","Number of Employers",32
"East Lyme","0901123400","2011","All Industries","Number","Annual Average Employment",5473
"East Lyme","0901123400","2009","Government","US Dollars","Annual Average Wage",56411
"East Lyme","0901123400","2006","Government","Number","Annual Average Employment",1597
"East Lyme","0901123400","2012","All Industries","Number","Annual Average Employment",5436
"East Lyme","0901123400","2006","Government","US Dollars","Annual Average Wage",53641
"East Lyme","0901123400","2009","Government","Number","Number of Employers",32
"East Lyme","0901123400","2014","Government","US Dollars","Annual Average Wage",58817
"East Lyme","0901123400","2010","All Industries","US Dollars","Annual Average Wage",40596
"East Lyme","0901123400","2010","Government","Number","Annual Average Employment",1715
"East Lyme","0901123400","2007","All Industries","Number","Annual Average Employment",5453
"East Lyme","0901123400","2011","Government","US Dollars","Annual Average Wage",60583
"East Lyme","0901123400","2013","Government","Number","Annual Average Employment",1630
"East Lyme","0901123400","2015","Government","US Dollars","Annual Average Wage",61542
"East Lyme","0901123400","2014","Government","Number","Number of Employers",30
"East Lyme","0901123400","2015","All Industries","US Dollars","Annual Average Wage",44017
"East Lyme","0901123400","2014","All Industries","Number","Number of Employers",501
"East Lyme","0901123400","2011","Government","Number","Annual Average Employment",1665
"East Lyme","0901123400","2015","All Industries","Number","Number of Employers",522
"East Lyme","0901123400","2012","Government","US Dollars","Annual Average Wage",56397
"East Lyme","0901123400","2007","Government","Number","Number of Employers",32
"East Lyme","0901123400","2005","Government","Number","Number of Employers",31
"East Lyme","0901123400","2006","Government","Number","Number of Employers",32
"East Lyme","0901123400","2011","All Industries","US Dollars","Annual Average Wage",42028
"East Lyme","0901123400","2004","All Industries","Number","Annual Average Employment",4809
"East Lyme","0901123400","2006","All Industries","Number","Annual Average Employment",5253
"East Lyme","0901123400","2004","Government","Number","Annual Average Employment",1508
"East Lyme","0901123400","2004","All Industries","US Dollars","Annual Average Wage",36603
"East Lyme","0901123400","2006","All Industries","Number","Number of Employers",475
"Easton","0900123890","2010","Government","Number","Number of Employers",13
"Easton","0900123890","2014","Government","Number","Annual Average Employment",340
"Easton","0900123890","2012","Government","Number","Number of Employers",13
"Easton","0900123890","2012","Government","Number","Annual Average Employment",334
"Easton","0900123890","2008","Government","Number","Annual Average Employment",332
"Easton","0900123890","2009","All Industries","Number","Annual Average Employment",896
"Easton","0900123890","2011","Government","US Dollars","Annual Average Wage",44055
"Easton","0900123890","2005","Government","Number","Number of Employers",14
"Easton","0900123890","2009","Government","Number","Number of Employers",13
"Easton","0900123890","2008","All Industries","Number","Annual Average Employment",895
"Easton","0900123890","2010","All Industries","US Dollars","Annual Average Wage",47966
"Easton","0900123890","2005","All Industries","US Dollars","Annual Average Wage",41862
"Easton","0900123890","2014","All Industries","Number","Annual Average Employment",947
"Easton","0900123890","2015","All Industries","Number","Annual Average Employment",973
"Easton","0900123890","2007","Government","US Dollars","Annual Average Wage",47628
"Easton","0900123890","2014","Government","Number","Number of Employers",13
"Easton","0900123890","2008","Government","US Dollars","Annual Average Wage",42365
"Easton","0900123890","2008","Government","Number","Number of Employers",14
"Easton","0900123890","2004","All Industries","Number","Number of Employers",207
"Easton","0900123890","2010","All Industries","Number","Annual Average Employment",867
"Easton","0900123890","2009","All Industries","Number","Number of Employers",203
"Easton","0900123890","2005","Government","US Dollars","Annual Average Wage",36947
"Easton","0900123890","2007","Government","Number","Annual Average Employment",327
"Easton","0900123890","2011","Government","Number","Annual Average Employment",323
"Easton","0900123890","2015","Government","Number","Annual Average Employment",348
"Easton","0900123890","2011","All Industries","US Dollars","Annual Average Wage",45361
"Easton","0900123890","2012","All Industries","Number","Annual Average Employment",912
"Easton","0900123890","2005","All Industries","Number","Number of Employers",206
"Easton","0900123890","2006","Government","US Dollars","Annual Average Wage",37878
"Easton","0900123890","2010","Government","Number","Annual Average Employment",331
"Easton","0900123890","2010","Government","US Dollars","Annual Average Wage",43805
"Easton","0900123890","2009","Government","Number","Annual Average Employment",335
"Easton","0900123890","2015","Government","Number","Number of Employers",13
"Easton","0900123890","2004","Government","US Dollars","Annual Average Wage",36152
"Easton","0900123890","2010","All Industries","Number","Number of Employers",209
"Easton","0900123890","2008","All Industries","US Dollars","Annual Average Wage",47295
"Easton","0900123890","2006","All Industries","Number","Annual Average Employment",886
"Easton","0900123890","2009","Government","US Dollars","Annual Average Wage",45231
"Easton","0900123890","2006","All Industries","US Dollars","Annual Average Wage",42990
"Easton","0900123890","2012","All Industries","Number","Number of Employers",217
"Easton","0900123890","2007","All Industries","Number","Number of Employers",202
"Easton","0900123890","2015","All Industries","Number","Number of Employers",224
"Easton","0900123890","2005","Government","Number","Annual Average Employment",323
"Easton","0900123890","2012","All Industries","US Dollars","Annual Average Wage",48409
"Easton","0900123890","2005","All Industries","Number","Annual Average Employment",877
"Easton","0900123890","2007","All Industries","US Dollars","Annual Average Wage",47354
"Easton","0900123890","2011","All Industries","Number","Number of Employers",205
"Easton","0900123890","2007","All Industries","Number","Annual Average Employment",888
"Easton","0900123890","2008","All Industries","Number","Number of Employers",205
"Easton","0900123890","2014","All Industries","US Dollars","Annual Average Wage",51005
"Easton","0900123890","2013","Government","US Dollars","Annual Average Wage",46205
"Easton","0900123890","2011","All Industries","Number","Annual Average Employment",888
"Easton","0900123890","2007","Government","Number","Number of Employers",14
"Easton","0900123890","2004","Government","Number","Number of Employers",14
"Easton","0900123890","2014","All Industries","Number","Number of Employers",215
"Easton","0900123890","2014","Government","US Dollars","Annual Average Wage",46237
"Easton","0900123890","2012","Government","US Dollars","Annual Average Wage",44531
"Easton","0900123890","2004","All Industries","US Dollars","Annual Average Wage",37533
"Easton","0900123890","2013","All Industries","Number","Annual Average Employment",915
"Easton","0900123890","2015","Government","US Dollars","Annual Average Wage",46805
"Easton","0900123890","2015","All Industries","US Dollars","Annual Average Wage",50417
"Easton","0900123890","2006","Government","Number","Number of Employers",14
"Easton","0900123890","2013","All Industries","Number","Number of Employers",210
"Easton","0900123890","2006","Government","Number","Annual Average Employment",322
"Easton","0900123890","2009","All Industries","US Dollars","Annual Average Wage",47563
"Easton","0900123890","2011","Government","Number","Number of Employers",13
"Easton","0900123890","2013","Government","Number","Annual Average Employment",330
"Easton","0900123890","2004","All Industries","Number","Annual Average Employment",874
"Easton","0900123890","2006","All Industries","Number","Number of Employers",200
"Easton","0900123890","2004","Government","Number","Annual Average Employment",313
"Easton","0900123890","2013","All Industries","US Dollars","Annual Average Wage",48118
"Easton","0900123890","2013","Government","Number","Number of Employers",13
"East Windsor","0900324800","2005","All Industries","Number","Annual Average Employment",6855
"East Windsor","0900324800","2014","Government","Number","Annual Average Employment",552
"East Windsor","0900324800","2010","Government","US Dollars","Annual Average Wage",56454
"East Windsor","0900324800","2012","Government","US Dollars","Annual Average Wage",58451
"East Windsor","0900324800","2015","Government","Number","Number of Employers",16
"East Windsor","0900324800","2010","All Industries","Number","Number of Employers",436
"East Windsor","0900324800","2014","All Industries","Number","Annual Average Employment",7090
"East Windsor","0900324800","2012","Government","Number","Number of Employers",16
"East Windsor","0900324800","2014","Government","US Dollars","Annual Average Wage",60885
"East Windsor","0900324800","2014","All Industries","US Dollars","Annual Average Wage",42022
"East Windsor","0900324800","2013","All Industries","US Dollars","Annual Average Wage",39744
"East Windsor","0900324800","2010","All Industries","US Dollars","Annual Average Wage",40234
"East Windsor","0900324800","2009","Government","Number","Number of Employers",16
"East Windsor","0900324800","2015","Government","Number","Annual Average Employment",579
"East Windsor","0900324800","2008","Government","US Dollars","Annual Average Wage",54842
"East Windsor","0900324800","2014","Government","Number","Number of Employers",16
"East Windsor","0900324800","2011","Government","US Dollars","Annual Average Wage",53807
"East Windsor","0900324800","2006","Government","US Dollars","Annual Average Wage",52430
"East Windsor","0900324800","2012","Government","Number","Annual Average Employment",540
"East Windsor","0900324800","2012","All Industries","US Dollars","Annual Average Wage",41776
"East Windsor","0900324800","2004","Government","Number","Number of Employers",15
"East Windsor","0900324800","2010","Government","Number","Number of Employers",17
"East Windsor","0900324800","2015","All Industries","Number","Number of Employers",455
"East Windsor","0900324800","2005","Government","Number","Annual Average Employment",505
"East Windsor","0900324800","2013","Government","US Dollars","Annual Average Wage",58976
"East Windsor","0900324800","2008","All Industries","US Dollars","Annual Average Wage",39160
"East Windsor","0900324800","2007","All Industries","US Dollars","Annual Average Wage",38202
"East Windsor","0900324800","2008","All Industries","Number","Annual Average Employment",7088
"East Windsor","0900324800","2008","Government","Number","Annual Average Employment",592
"East Windsor","0900324800","2012","All Industries","Number","Number of Employers",443
"East Windsor","0900324800","2004","Government","US Dollars","Annual Average Wage",50133
"East Windsor","0900324800","2009","All Industries","Number","Number of Employers",434
"East Windsor","0900324800","2005","All Industries","Number","Number of Employers",426
"East Windsor","0900324800","2005","Government","Number","Number of Employers",15
"East Windsor","0900324800","2015","All Industries","Number","Annual Average Employment",7222
"East Windsor","0900324800","2006","Government","Number","Number of Employers",15
"East Windsor","0900324800","2005","Government","US Dollars","Annual Average Wage",52843
"East Windsor","0900324800","2011","Government","Number","Number of Employers",16
"East Windsor","0900324800","2011","Government","Number","Annual Average Employment",573
"East Windsor","0900324800","2007","Government","US Dollars","Annual Average Wage",53900
"East Windsor","0900324800","2007","All Industries","Number","Annual Average Employment",7249
"East Windsor","0900324800","2004","All Industries","US Dollars","Annual Average Wage",34455
"East Windsor","0900324800","2007","Government","Number","Number of Employers",15
"East Windsor","0900324800","2004","Government","Number","Annual Average Employment",483
"East Windsor","0900324800","2006","All Industries","US Dollars","Annual Average Wage",37323
"East Windsor","0900324800","2007","All Industries","Number","Number of Employers",446
"East Windsor","0900324800","2011","All Industries","Number","Number of Employers",435
"East Windsor","0900324800","2007","Government","Number","Annual Average Employment",576
"East Windsor","0900324800","2009","Government","Number","Annual Average Employment",576
"East Windsor","0900324800","2010","Government","Number","Annual Average Employment",562
"East Windsor","0900324800","2008","All Industries","Number","Number of Employers",448
"East Windsor","0900324800","2004","All Industries","Number","Number of Employers",418
"East Windsor","0900324800","2014","All Industries","Number","Number of Employers",446
"East Windsor","0900324800","2006","All Industries","Number","Number of Employers",444
"East Windsor","0900324800","2012","All Industries","Number","Annual Average Employment",7309
"East Windsor","0900324800","2010","All Industries","Number","Annual Average Employment",6769
"East Windsor","0900324800","2005","All Industries","US Dollars","Annual Average Wage",35997
"East Windsor","0900324800","2011","All Industries","Number","Annual Average Employment",6735
"East Windsor","0900324800","2004","All Industries","Number","Annual Average Employment",6637
"East Windsor","0900324800","2013","All Industries","Number","Annual Average Employment",7072
"East Windsor","0900324800","2009","Government","US Dollars","Annual Average Wage",58424
"East Windsor","0900324800","2013","Government","Number","Number of Employers",16
"East Windsor","0900324800","2006","Government","Number","Annual Average Employment",534
"East Windsor","0900324800","2015","Government","US Dollars","Annual Average Wage",60692
"East Windsor","0900324800","2008","Government","Number","Number of Employers",16
"East Windsor","0900324800","2011","All Industries","US Dollars","Annual Average Wage",39757
"East Windsor","0900324800","2009","All Industries","Number","Annual Average Employment",6793
"East Windsor","0900324800","2013","All Industries","Number","Number of Employers",441
"East Windsor","0900324800","2013","Government","Number","Annual Average Employment",564
"East Windsor","0900324800","2009","All Industries","US Dollars","Annual Average Wage",39269
"East Windsor","0900324800","2006","All Industries","Number","Annual Average Employment",7234
"East Windsor","0900324800","2015","All Industries","US Dollars","Annual Average Wage",42571
"Ellington","0901325360","2008","Government","US Dollars","Annual Average Wage",38683
"Ellington","0901325360","2009","All Industries","Number","Annual Average Employment",2735
"Ellington","0901325360","2010","Government","Number","Number of Employers",17
"Ellington","0901325360","2012","All Industries","Number","Annual Average Employment",3220
"Ellington","0901325360","2008","Government","Number","Number of Employers",17
"Ellington","0901325360","2011","Government","US Dollars","Annual Average Wage",36840
"Ellington","0901325360","2009","Government","Number","Number of Employers",17
"Ellington","0901325360","2015","All Industries","Number","Annual Average Employment",3466
"Ellington","0901325360","2014","All Industries","Number","Annual Average Employment",3486
"Ellington","0901325360","2014","All Industries","US Dollars","Annual Average Wage",41587
"Ellington","0901325360","2008","All Industries","Number","Annual Average Employment",2859
"Ellington","0901325360","2011","All Industries","US Dollars","Annual Average Wage",40110
"Ellington","0901325360","2005","Government","US Dollars","Annual Average Wage",36369
"Ellington","0901325360","2005","Government","Number","Number of Employers",17
"Ellington","0901325360","2012","Government","Number","Number of Employers",15
"Ellington","0901325360","2012","Government","US Dollars","Annual Average Wage",41417
"Ellington","0901325360","2008","All Industries","US Dollars","Annual Average Wage",38659
"Ellington","0901325360","2005","All Industries","Number","Annual Average Employment",2611
"Ellington","0901325360","2005","All Industries","US Dollars","Annual Average Wage",37014
"Ellington","0901325360","2013","Government","US Dollars","Annual Average Wage",42775
"Ellington","0901325360","2005","Government","Number","Annual Average Employment",574
"Ellington","0901325360","2010","All Industries","Number","Number of Employers",312
"Ellington","0901325360","2008","Government","Number","Annual Average Employment",659
"Ellington","0901325360","2012","All Industries","Number","Number of Employers",318
"Ellington","0901325360","2013","Government","Number","Annual Average Employment",640
"Ellington","0901325360","2007","Government","Number","Number of Employers",17
"Ellington","0901325360","2014","Government","Number","Number of Employers",15
"Ellington","0901325360","2004","Government","Number","Number of Employers",18
"Ellington","0901325360","2005","All Industries","Number","Number of Employers",277
"Ellington","0901325360","2004","All Industries","Number","Number of Employers",272
"Ellington","0901325360","2015","Government","Number","Annual Average Employment",676
"Ellington","0901325360","2007","All Industries","Number","Annual Average Employment",2710
"Ellington","0901325360","2009","Government","US Dollars","Annual Average Wage",39078
"Ellington","0901325360","2008","All Industries","Number","Number of Employers",302
"Ellington","0901325360","2007","Government","Number","Annual Average Employment",632
"Ellington","0901325360","2007","Government","US Dollars","Annual Average Wage",38036
"Ellington","0901325360","2007","All Industries","Number","Number of Employers",296
"Ellington","0901325360","2010","All Industries","US Dollars","Annual Average Wage",39485
"Ellington","0901325360","2007","All Industries","US Dollars","Annual Average Wage",39845
"Ellington","0901325360","2012","Government","Number","Annual Average Employment",635
"Ellington","0901325360","2015","All Industries","Number","Number of Employers",326
"Ellington","0901325360","2004","All Industries","US Dollars","Annual Average Wage",37011
"Ellington","0901325360","2014","Government","US Dollars","Annual Average Wage",43246
"Ellington","0901325360","2004","Government","US Dollars","Annual Average Wage",35952
"Ellington","0901325360","2013","All Industries","US Dollars","Annual Average Wage",40930
"Ellington","0901325360","2014","All Industries","Number","Number of Employers",320
"Ellington","0901325360","2006","Government","US Dollars","Annual Average Wage",36623
"Ellington","0901325360","2011","All Industries","Number","Annual Average Employment",2905
"Ellington","0901325360","2011","Government","Number","Annual Average Employment",713
"Ellington","0901325360","2013","All Industries","Number","Annual Average Employment",3293
"Ellington","0901325360","2011","All Industries","Number","Number of Employers",313
"Ellington","0901325360","2012","All Industries","US Dollars","Annual Average Wage",40016
"Ellington","0901325360","2009","All Industries","Number","Number of Employers",314
"Ellington","0901325360","2006","All Industries","US Dollars","Annual Average Wage",38344
"Ellington","0901325360","2015","Government","US Dollars","Annual Average Wage",43185
"Ellington","0901325360","2010","Government","US Dollars","Annual Average Wage",37154
"Ellington","0901325360","2015","All Industries","US Dollars","Annual Average Wage",43272
"Ellington","0901325360","2014","Government","Number","Annual Average Employment",655
"Ellington","0901325360","2004","Government","Number","Annual Average Employment",570
"Ellington","0901325360","2009","All Industries","US Dollars","Annual Average Wage",38601
"Ellington","0901325360","2011","Government","Number","Number of Employers",16
"Ellington","0901325360","2009","Government","Number","Annual Average Employment",689
"Ellington","0901325360","2006","All Industries","Number","Number of Employers",280
"Ellington","0901325360","2015","Government","Number","Number of Employers",15
"Ellington","0901325360","2013","Government","Number","Number of Employers",15
"Ellington","0901325360","2004","All Industries","Number","Annual Average Employment",2535
"Ellington","0901325360","2006","All Industries","Number","Annual Average Employment",2666
"Ellington","0901325360","2010","All Industries","Number","Annual Average Employment",2739
"Ellington","0901325360","2006","Government","Number","Annual Average Employment",606
"Ellington","0901325360","2006","Government","Number","Number of Employers",17
"Ellington","0901325360","2013","All Industries","Number","Number of Employers",322
"Ellington","0901325360","2010","Government","Number","Annual Average Employment",693
"Enfield","0900325990","2009","Government","US Dollars","Annual Average Wage",52047
"Enfield","0900325990","2012","All Industries","US Dollars","Annual Average Wage",50217
"Enfield","0900325990","2008","Government","Number","Number of Employers",40
"Enfield","0900325990","2008","Government","Number","Annual Average Employment",3053
"Enfield","0900325990","2009","All Industries","Number","Number of Employers",970
"Enfield","0900325990","2004","All Industries","Number","Number of Employers",945
"Enfield","0900325990","2014","Government","Number","Number of Employers",40
"Enfield","0900325990","2008","All Industries","Number","Number of Employers",999
"Enfield","0900325990","2008","All Industries","US Dollars","Annual Average Wage",45998
"Enfield","0900325990","2008","Government","US Dollars","Annual Average Wage",50421
"Enfield","0900325990","2010","All Industries","Number","Number of Employers",969
"Enfield","0900325990","2005","All Industries","Number","Number of Employers",947
